gene	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox
ENSG00000140798	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.13
ENSG00000243064	0.0	0.0	0.0	0.0	0.0	0.28	1.14	0.0	0.0	0.36
ENSG00000023839	0.23	1.13	2.37	0.0	0.0	1.05	1.33	0.97	0.61	0.0
ENSG00000108846	0.11	1.16	0.56	0.13	0.58	0.06	0.2	0.6	0.3	0.0
ENSG00000125257	25.93	17.57	31.22	37.57	20.28	24.88	14.6	154.87	77.93	21.76
ENSG00000114770	35.8	40.26	35.58	37.01	58.33	27.12	56.34	47.73	33.75	32.92
ENSG00000223882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000091262	0.0	0.47	0.0	0.0	0.0	0.0	1.38	0.09	0.0	0.0
ENSG00000256340	0.0	0.0	1.16	0.0	0.0	0.23	0.26	0.0	0.0	0.0
ENSG00000255277	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000006071	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
ENSG00000069431	12.95	22.14	9.08	21.69	12.36	14.8	23.14	12.68	20.16	10.66
ENSG00000101986	1.92	4.18	9.32	3.62	3.24	10.23	8.79	4.76	9.83	7.23
ENSG00000173208	0.0	0.0	0.0	0.0	0.07	0.06	0.0	0.0	0.12	0.49
ENSG00000117528	26.69	22.97	39.2	40.7	42.23	26.18	21.43	21.67	23.1	42.34
ENSG00000119688	32.91	68.85	45.75	41.71	26.95	45.11	70.75	31.14	32.27	32.98
ENSG00000164163	110.86	54.22	155.58	186.31	178.2	125.19	67.61	125.51	140.28	140.18
ENSG00000204574	172.54	190.1	163.6	142.87	185.98	147.26	126.57	184.05	245.82	134.01
ENSG00000033050	63.17	48.35	80.16	72.57	58.17	62.65	43.65	60.97	72.77	42.21
ENSG00000161204	31.91	46.64	41.94	33.2	45.09	37.16	36.41	40.75	58.19	26.96
ENSG00000160179	0.3	26.97	10.54	9.56	11.13	5.97	19.81	0.31	16.24	16.43
ENSG00000118777	1.39	10.84	1.84	0.0	3.57	0.0	4.46	0.52	0.05	0.77
ENSG00000172350	0.08	0.66	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.18
ENSG00000138075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000143921	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000143994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000144827	20.8	19.73	28.88	26.35	48.14	12.67	21.34	31.64	27.58	21.02
ENSG00000106077	7.17	1.33	7.04	15.47	2.26	5.59	2.19	8.39	13.43	5.28
ENSG00000100997	48.11	31.65	42.68	48.49	33.36	54.92	45.71	27.69	31.01	38.31
ENSG00000131969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000139826	16.47	15.51	17.11	16.18	21.77	16.89	18.73	14.85	9.71	14.31
