gene	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast
ENSG00000002586	595.05188	856.63022	725.34868	461.257700750876	635.30638	755.43857	633.6597	780.99181	1209.03601	669.03198	690.574	600.07745	905.97706	1016.197941	799.78477	1089.00937	997.99922	655.1358	1382.21899	1134.19117	1215.1766	1441.74266	1381.96421	1073.77415207	1130.571871
ENSG00000002587	0	0.063936	0	0	0.147991	0.0439409	0	0.109073	0	0	0	0.0882586	0	0.526692	0.0601807	0	0.32478	0	0	0	3.79884	0.159841	2.021947	0.992267	0.0445991
ENSG00000002726	0	0.703903	0	0.574334	0	0.747127	0.914947	0	0	0	0.623037	1.26608	0	1.02726	0.905538	0	0	0.995522	0.54393	0.715579	0.734748	0.158854	1.526858	0	0.355621
ENSG00000002746	0.788392	7.837137	5.9232761	0.453751	4.6105755	16.905982	17.293652	0.0455864	0.442858	1.39736	3.75634	7.872653	2.301635	2.079051	0.092511	1.42193	13.389592	21.032665	11.194247	0.791799	20.078058	1.628376	0.268535	0.377545	15.574419
ENSG00000002822	15.19177	10.08457	48.376670423369	31.42141	30.961	14.34155	22.508898725	23.24845	33.473065	35.4223700053755	20.88216	0	16.18592	15.85254	37.373052	46.35112538	77.3635096399	28.12131175234	39.14806	33.971703	38.914986	53.67783	47.661346	41.52822	24.69632
ENSG00000002834	26.727157050496	24.889021	31.81858254	27.969928	21.025277	10.879557	21.2749578438	44.40575	44.15128	50.6816400044333	30.7816877226	23.54251	38.7092495523	37.52346	51.98955	63.348651	44.54652534	29.6914082	41.871242	50.36305	44.34507	43.8152	47.298000508736	35.72463	47.336231
ENSG00000002919	12.69703	10.11292	4.506	15.23907	9.490801159873	3.193201	10.89933	10.163526	9.818099689	2.6247	5.1355965	34.3714234524	15.01256	13.756	16.601996	8.310415	5.8501411	15.986772	6.140626	8.049706	23.91539	9.06546	17.25425	17.84772	15.92788
ENSG00000002933	49.65477	61.80123	55.513703	46.30416	339.472108	300.94053	168.24527	48.036297	8.426761	8.95187	47.62904	118.0324	66.05528	121.857097	0.719096	9.1350433	3.391029	10.814799	72.43813	29.683592	2.75098	3.46258	0	0	153.530067
ENSG00000003056	73.17847911	66.794625	72.652649507	47.783426	118.26509	87.20337031	31.13159	73.00792	59.7596600046026	38.443529	52.136841	70.88259	37.609518497057	97.48718	63.1369900183251	101.23766	89.07082	74.841700006477	84.53551018	103.01720848	42.83328	41.96786	60.62395512	108.7305	18.79146
ENSG00000003096	5.6598438	0.47135448246	0.21154892807	0	1.4781783253	3.1702846497	0	3.46796400422357	3.3855	0.76568170838	0.14518339542	9.01946000136238	0.14331648046	2.904720433753	4.82890497409	3.80727	2.6923	3.1115506543	2.773369987127	4.035302383	0	0	0	0	19.539826041
ENSG00000003137	0.133536	0.324429	0.157901	0.244631	0.700363	0.087398	0	2.700333	0.433347	0.263817	4.53959	0	0	0	2.756588	0.90057	1.646538	2.16423	0.295281	1.50548	10.461875	1.10704	6.76655	6.91959	1.25438
ENSG00000003147	37.823202	27.20184	26.487606	26.10896	6.9503	14.489309957	0.215463	17.35383014	10.4839	11.124741606	24.183546	10.82508	7.495675	5.240683	55.4076253096	14.59871805	15.931147545	41.86259	9.89374872	8.634321	12.1834036	8.048673	4.20227	11.063960258	6.417782
ENSG00000003249	0	0	0.337306	0.196165	0	0	0	0.176788	0	0.227823	0	0.279573	0.171397	0	1.649337	0	0.210467	1.54027	0.289682	1.305536	2.85175	6.07842	5.17834	8.12426	0
ENSG00000003393	10.00055	4.863049	7.7637	7.927785	5.3358289	10.926128	10.132133	10.335238	5.926647	7.668388	10.097799	20.766395	7.329805	5.600671	8.441252	14.273823	13.862265	5.669432	20.76462	13.463763621408	15.44807	15.212711	11.773457	11.264431	44.475663
ENSG00000003400	18.011373	9.592917	7.54687	1.17967	8.156786	7.052094	3.623911	26.524995	9.378683	0.315070465	22.9855693	17.319249	5.156832	7.487925	11.880445	2.317846	25.145749	4.466522	15.524125	23.649536	10.100848	0.474546	0.579262	12.64722146553	24.110168
ENSG00000003402	63.044669051632	65.91485	108.44928	59.249611	35.892591	61.04396	38.115995	73.4923107	85.8420204822	67.5493	132.454567919648	114.1701451	95.349099	92.75747	93.75385	39.89677	54.660743	62.9274098	80.423775	78.816281085632	23.349916	60.7501960335795	59.38061	43.3015981261	58.01398859
