Ensembl ID(supplied by Ensembl)	Ensembl gene ID	Approved symbol	Previous symbols	Synonyms
ENSG00000217862	ENSG00000217862	H4C10P	H4FFP, HIST1H4PS1	pH4/f, dJ97D16.3
ENSG00000197238	ENSG00000197238	H4C11	H4FE, HIST1H4J	H4/e, H4F2iv
ENSG00000273542	ENSG00000273542	H4C12	H4FD, HIST1H4K	H4/d, H4F2iii, dJ160A22.1
ENSG00000275126	ENSG00000275126	H4C13	H4FK, HIST1H4L	H4.k, H4/k
ENSG00000270882	ENSG00000270882	H4C14	H4F2, H4FN, HIST2H4, H4/n, HIST2H4A	
ENSG00000270276	ENSG00000270276	H4C15	HIST2H4B	H4/o
		H4F2		
		H4F3		
	ENSG00000240680	H4P1		
ENSG00000049239	ENSG00000049239	H6PD	GDH	H6PDH
ENSG00000130600	ENSG00000130600	H19		D11S813E, ASM, ASM1, NCRNA00008, LINC00008, MIR675HG
ENSG00000162882	ENSG00000162882	HAAO		
		HABP1		
ENSG00000148702	ENSG00000148702	HABP2		HABP, PHBP, HGFAL, FSAP
ENSG00000130956	ENSG00000130956	HABP4		IHABP4, SERBP1L
ENSG00000165996	ENSG00000165996	HACD1	PTPLA	CAP
ENSG00000206527	ENSG00000206527	HACD2	PTPLB	
ENSG00000074696	ENSG00000074696	HACD3	PTPLAD1	B-ind1, HSPC121
ENSG00000188921	ENSG00000188921	HACD4	PTPLAD2	Em:AL662879.1, OTTHUMG00000021016
ENSG00000085382	ENSG00000085382	HACE1		KIAA1320
ENSG00000131373	ENSG00000131373	HACL1	HPCL	2-HPCL, PHYH2
ENSG00000138796	ENSG00000138796	HADH	HADHSC	HADH1, SCHAD
ENSG00000084754	ENSG00000084754	HADHA		GBP, LCEH, LCHAD, MTPA
ENSG00000251596	ENSG00000251596	HADHAP1	HADHAP	
ENSG00000255967	ENSG00000255967	HADHAP2		
ENSG00000138029	ENSG00000138029	HADHB		MTPB
		HADHSC	HADHSC	SCHAD
ENSG00000063854	ENSG00000063854	HAGH		GLO2, GLXII, HAGH1
ENSG00000103253		HAGHL		MGC2605
ENSG00000224189	ENSG00000224189	HAGLR	HOXD-AS1	Mdgt, MIR7704HG
ENSG00000226363	ENSG00000226363	HAGLROS		
ENSG00000084110	ENSG00000084110	HAL	HIS	
ENSG00000105697	ENSG00000105697	HAMP		LEAP-1, HEPC, HFE2B, LEAP1
ENSG00000113196	ENSG00000113196	HAND1		eHand, Thing1, Hxt, bHLHa27
ENSG00000164107	ENSG00000164107	HAND2		dHand, Thing2, Hed, bHLHa26
ENSG00000237125	ENSG00000237125	HAND2-AS1		DEIN, NBLA00301, FLJ11539
ENSG00000101323	ENSG00000101323	HAO1	GOX1	GOX
ENSG00000116882	ENSG00000116882	HAO2		HAOX2, GIG16
ENSG00000230921	ENSG00000230921	HAO2-IT1		
		HAO3		
		HAOL		
ENSG00000173805	ENSG00000173805	HAP1	HAP2	HLP, hHLP1, HIP5
		HAP2		
ENSG00000145681	ENSG00000145681	HAPLN1	CRTL1	
ENSG00000132702	ENSG00000132702	HAPLN2		BRAL1
ENSG00000140511	ENSG00000140511	HAPLN3	EXLD1	HsT19883
ENSG00000187664	ENSG00000187664	HAPLN4		BRAL2, KIAA1926
		HAPP	HAP1	hHAP1
ENSG00000225978	ENSG00000225978	HAR1A		HAR1F, NCRNA00064, LINC00064
ENSG00000231133	ENSG00000231133	HAR1B		HAR1R, NCRNA00065, LINC00065
ENSG00000180423	ENSG00000180423	HARBI1	C11orf77	FLJ32675
ENSG00000170445	ENSG00000170445	HARS1	USH3B, HARS	HisRS
ENSG00000112855	ENSG00000112855	HARS2	HARSL	HO3, HARSR
ENSG00000105509	ENSG00000105509	HAS1	HAS	
ENSG00000170961	ENSG00000170961	HAS2		
ENSG00000248690	ENSG00000248690	HAS2-AS1	HAS2AS, HAS2-AS	HASNT, NCRNA00077
ENSG00000103044	ENSG00000103044	HAS3		
ENSG00000177602	ENSG00000177602	HASPIN	GSG2	
ENSG00000128708	ENSG00000128708	HAT1		KAT1
ENSG00000152240	ENSG00000152240	HAUS1	CCDC5	HEI-C, HsT1461, FLJ40084
ENSG00000251453	ENSG00000251453	HAUS1P1		
ENSG00000224224	ENSG00000224224	HAUS1P2		
ENSG00000253226	ENSG00000253226	HAUS1P3		
ENSG00000137814	ENSG00000137814	HAUS2	C15orf25, CEP27	FLJ10460, HsT17025
ENSG00000214367	ENSG00000214367	HAUS3	C4orf15	MGC4701, IT1, dgt3
ENSG00000092036	ENSG00000092036	HAUS4	C14orf94	FLJ20424
ENSG00000226967	ENSG00000226967	HAUS4P1		
ENSG00000249115	ENSG00000249115	HAUS5	KIAA0841	dgt5
ENSG00000147874	ENSG00000147874	HAUS6	FAM29A	FLJ20060, KIAA1574, dgt6
ENSG00000227344	ENSG00000227344	HAUS6P1		
ENSG00000236121	ENSG00000236121	HAUS6P2		
ENSG00000235454	ENSG00000235454	HAUS6P3		
ENSG00000213397	ENSG00000213397	HAUS7	UCHL5IP	UIP1
ENSG00000131351	ENSG00000131351	HAUS8	HICE1	MGC20533, NY-SAR-48
ENSG00000257300	ENSG00000257300	HAUS8P1		
		HAUSP		
ENSG00000113249	ENSG00000113249	HAVCR1		HAVCR-1, TIM-1, TIM1, HAVCR, TIMD1, CD365, KIM1
		HAVCR1P1		
		HAVCR1P2		
ENSG00000135077	ENSG00000135077	HAVCR2		Tim-3, TIM3, FLJ14428, TIMD3, CD366
ENSG00000143575	ENSG00000143575	HAX1		HS1BP1, HCLSBP1
ENSG00000206172	ENSG00000206172	HBA1		HBA-T3
ENSG00000188536	ENSG00000188536	HBA2		HBA-T2
		HBAP1		HBA-T1, HBA3, HBA3P
ENSG00000244734	ENSG00000244734	HBB		CD113t-C, beta-globin
ENSG00000229988	ENSG00000229988	HBBP1		HBH1, HBHP
ENSG00000223609	ENSG00000223609	HBD		
ENSG00000213931	ENSG00000213931	HBE1		HBE
ENSG00000113070	ENSG00000113070	HBEGF	HEGFL, DTS, DTR	
ENSG00000213934	ENSG00000213934	HBG1		HBG-T2
ENSG00000196565	ENSG00000196565	HBG2		HBG-T1
ENSG00000206177	ENSG00000206177	HBM	HBAP2	HBK
ENSG00000105856	ENSG00000105856	HBP1		
ENSG00000086506	ENSG00000086506	HBQ1		HBQ
ENSG00000112339	ENSG00000112339	HBS1L		ERFS, HBS1, HSPC276, KIAA1038, DKFZp434g247, EF-1a, eRF3c
ENSG00000130656	ENSG00000130656	HBZ		HBZ1, HBZ-T1
ENSG00000206178	ENSG00000206178	HBZP1	HBZP	HBZ-T2, HBZ2, HBZ2P
ENSG00000196917	ENSG00000196917	HCAR1	GPR104, GPR81	HCA1, FKSG80, TA-GPCR, LACR1
ENSG00000182782	ENSG00000182782	HCAR2	GPR109A	HCA2, HM74A, PUMAG, Puma-g, NIACR1
ENSG00000255398	ENSG00000255398	HCAR3	GPR109B	HCA3, HM74
ENSG00000260880	ENSG00000260880	HCCAT5		HTA, FJ222407
ENSG00000004961	ENSG00000004961	HCCS	MLS	CCHL
		HCF2		
ENSG00000172534	ENSG00000172534	HCFC1	HFC1, MRX3	HCF-1, HCF1, CFF, VCAF, MGC70925, PPP1R89
ENSG00000235802	ENSG00000235802	HCFC1-AS1		
ENSG00000103145		HCFC1R1		HPIP, FLJ20568
ENSG00000111727	ENSG00000111727	HCFC2		HCF-2
ENSG00000232087	ENSG00000232087	HCFC2P1		
		HCG2P1		HCGII-1
		HCG2P2		HCGII-2
		HCG2P4		HCGII-4
		HCG2P6		HCGII-6, HCGII.1
		HCG2P7		HCGII-7, HCGII.2
		HCG2P8		HCGII-8, HCGII.3
ENSG00000176998	ENSG00000176998	HCG4	HCG4P10	HCGIV-10, HCGIV.9
ENSG00000227262	ENSG00000227262	HCG4B	HCG4P6	HCGIV-6, HCGIV.5, HCGIV-06, bCX67J3.3, Em:AB023056.16, bPG309N1.1, bQB90C11.3
		HCG4P1		HCGIV-01
		HCG4P2		HCGIV-02
		HCG4P3		HCGIV-03, HCGIV.2, HCGIV-3
		HCG4P4		HCGIV-04, HCGIV.3, HCGIV-4
		HCG4P5		HCGIV-05, HCGIV.4, HCGIV-5
		HCG4P7		HCGIV-07, HCGIV.C, HCGIV-7
ENSG00000229142	ENSG00000229142	HCG4P8		HCGIV-08, HCGIV.7, HCGIV-8
		HCG4P9		HCGIV-09, HCGIV-9
		HCG4P10		HCGIV-10, HCGIV.9
		HCG4P11		HCGIV-11, HCGIV.10
		HCG8		HCGVIII, HCGVIII-1
ENSG00000204625	ENSG00000204625	HCG9		PERB11, HCGIX, HCGIX4, HCGIX-4
		HCG9P1		HCGIX-1
		HCG9P2		HCGIX-2
		HCG9P3		HCGIX-3.2
		HCG9P5		HCGIX-5, dJ377H14.6
ENSG00000228223	ENSG00000228223	HCG11		bK14H9.3, FLJ14049, FLJ30357
		HCG12	HCG12	bA457M11.2
		HCG13P		dJ193B12.5
ENSG00000224157	ENSG00000224157	HCG14		dJ111M5.4
ENSG00000227214	ENSG00000227214	HCG15	HCG16	dJ25J6.6, dJ25J6.7
		HCG16		dJ25J6.7
ENSG00000270604	ENSG00000270604	HCG17		NCRNA00046, LINC00046
ENSG00000231074	ENSG00000231074	HCG18		FLJ31598, FLJ25550, Em:AB014087.1
		HCG19P		AB014085.4
ENSG00000228022	ENSG00000228022	HCG20		AB023051.1, NCRNA00149
ENSG00000233529	ENSG00000233529	HCG21		AB023048.2, NCRNA00150
ENSG00000228789	ENSG00000228789	HCG22		FLJ37114, PBMUCL2
		HCG23		dJ1077I5.3
ENSG00000230313	ENSG00000230313	HCG24		dJ1033B10.15
ENSG00000232940	ENSG00000232940	HCG25		dJ1033B10.16
		HCG26		bPG181B23.4, bCX205D4.4, NCRNA00191
ENSG00000206344	ENSG00000206344	HCG27		bPG299F13.9, bCX101P6.9, bQB115I13.2, FLJ40123
		HCHOLA3		FH3
		HCHOLA4		
ENSG00000101336	ENSG00000101336	HCK		JTK9
		HCL1		BRHC
		HCL2		RHC, RHA
		HCL3		
ENSG00000180353	ENSG00000180353	HCLS1		HS1, CTTNL
ENSG00000164588	ENSG00000164588	HCN1	BCNG1	BCNG-1, HAC-2
ENSG00000099822	ENSG00000099822	HCN2	BCNG2	BCNG-2, HAC-1
ENSG00000143630	ENSG00000143630	HCN3		KIAA1535
ENSG00000138622	ENSG00000138622	HCN4		
ENSG00000206337	ENSG00000206337	HCP5		D6S2650E, P5-1
		HCP5B	HCP5P10	P5-10, P5.9
		HCP5P2		P5-02, P5.2, P5-2
		HCP5P3		P5-03, P5.3, P5-3
		HCP5P6		P5-06, P5.4, P5-6, bPG8G10.1
		HCP5P8		P5-08
		HCP5P12		P5-12, P5.5, dJ377H14.11, bPG170G13.12
		HCP5P13		P5-13, dJ377H14.12, J377H14.12
		HCP5P14		P5-14, dJ377H14.13
		HCP5P15		P5-15, P5.11, dJ377H14.10, bPG170G13.1
ENSG00000161610	ENSG00000161610	HCRT		PPOX, OX
ENSG00000121764	ENSG00000121764	HCRTR1		OX1R
ENSG00000137252	ENSG00000137252	HCRTR2		OX2R
ENSG00000126264	ENSG00000126264	HCST	PIK3AP	DAP10, DKFZP586C1522, KAP10
		HCVS		
ENSG00000116478	ENSG00000116478	HDAC1	RPD3L1	HD1, GON-10, KDAC1
ENSG00000234724	ENSG00000234724	HDAC1P1		
ENSG00000233012	ENSG00000233012	HDAC1P2		
ENSG00000196591	ENSG00000196591	HDAC2		RPD3, YAF1, KDAC2
ENSG00000228624	ENSG00000228624	HDAC2-AS2		ENST00000421891
ENSG00000171720	ENSG00000171720	HDAC3		RPD3, HD3, RPD3-2, KDAC3
ENSG00000068024	ENSG00000068024	HDAC4	BDMR	KIAA0288, HDAC-A, HDACA, HD4, HA6116, HDAC-4
ENSG00000222020	ENSG00000222020	HDAC4-AS1		
ENSG00000108840	ENSG00000108840	HDAC5		KIAA0600, NY-CO-9, FLJ90614
ENSG00000094631	ENSG00000094631	HDAC6		KIAA0901, JM21, HD6, FLJ16239, PPP1R90
ENSG00000061273	ENSG00000061273	HDAC7	HDAC7A	DKFZP586J0917
ENSG00000147099	ENSG00000147099	HDAC8	HDACL1, WTS, MRXS6	RPD3, KDAC8
ENSG00000048052	ENSG00000048052	HDAC9		KIAA0744, HDAC, MITR, HD7, HDAC7B
	ENSG00000226522	HDAC9-AS1		
ENSG00000100429	ENSG00000100429	HDAC10		DKFZP761B039
ENSG00000163517	ENSG00000163517	HDAC11		
ENSG00000244502	ENSG00000244502	HDAC11-AS1		
ENSG00000140287	ENSG00000140287	HDC		
ENSG00000111906	ENSG00000111906	HDDC2	C6orf74	CGI-130, dJ167O5.2
ENSG00000184508	ENSG00000184508	HDDC3		MGC45386
ENSG00000143321	ENSG00000143321	HDGF		HMG1L2
ENSG00000112273	ENSG00000112273	HDGFL1	PWWP1	dJ309H15.1, Hdgfrp1, HRP-1
ENSG00000167674	ENSG00000167674	HDGFL2		HRP2, Hdgfrp2
ENSG00000166503	ENSG00000166503	HDGFL3		HRP-3, Hdgfrp3
ENSG00000227183	ENSG00000227183	HDGFP1	HDGFP	
ENSG00000167220	ENSG00000167220	HDHD2		DKFZP564D1378
ENSG00000119431	ENSG00000119431	HDHD3	C9orf158	MGC12904
ENSG00000069998	ENSG00000069998	HDHD5	CECR5	
ENSG00000185837	ENSG00000185837	HDHD5-AS1	CECR4, CECR5-AS1	NCRNA00017
ENSG00000115677	ENSG00000115677	HDLBP	VGL	HBP
		HDLCQ1		
		HDLDT1		
ENSG00000165259	ENSG00000165259	HDX	CXorf43	FLJ30678
ENSG00000119285	ENSG00000119285	HEATR1		FLJ10359, BAP28, UTP10
ENSG00000155393	ENSG00000155393	HEATR3		FLJ20718
ENSG00000187105	ENSG00000187105	HEATR4		MGC48595
ENSG00000129493	ENSG00000129493	HEATR5A	C14orf125	DKFZP434I1735
ENSG00000008869	ENSG00000008869	HEATR5B		KIAA1414, DKFZp686P15184
ENSG00000068097	ENSG00000068097	HEATR6		ABC1, FLJ22087
ENSG00000270379	ENSG00000270379	HEATR9	C17orf66	FLJ32830
ENSG00000013583	ENSG00000013583	HEBP1		HEBP, HBP
ENSG00000051620	ENSG00000051620	HEBP2	C6orf34	SOUL
ENSG00000112406	ENSG00000112406	HECA		HDCL, hHDC, HDC, dJ225E12.1
ENSG00000092148	ENSG00000092148	HECTD1		KIAA1131
ENSG00000165338	ENSG00000165338	HECTD2		FLJ37306
		HECTD2-AS1		
ENSG00000126107	ENSG00000126107	HECTD3		FLJ21156
ENSG00000173064	ENSG00000173064	HECTD4	C12orf51	FLJ34154, KIAA0614
ENSG00000002746	ENSG00000002746	HECW1		KIAA0322, NEDL1
ENSG00000181211	ENSG00000181211	HECW1-IT1		
ENSG00000138411	ENSG00000138411	HECW2		KIAA1301, NEDL2
ENSG00000229056	ENSG00000229056	HECW2-AS1		
ENSG00000173706	ENSG00000173706	HEG1		KIAA1237, HEG
		HEGFL		
ENSG00000278970	ENSG00000278970	HEIH		LINC-HEIH, lncRNA-HEIH, LINC00848, HCCAT2
ENSG00000127311	ENSG00000127311	HELB		
		HELIGL1		
ENSG00000281344	ENSG00000281344	HELLPAR		LINC-HELLP
ENSG00000119969	ENSG00000119969	HELLS		PASG, SMARCA6, LSH, Nbla10143
ENSG00000163312	ENSG00000163312	HELQ		Hel308
ENSG00000187821	ENSG00000187821	HELT		HESL, HCM1228, Mgn, bHLHb44, MEGANE
ENSG00000198265	ENSG00000198265	HELZ		KIAA0054, HUMORF5, DHRC
ENSG00000130589	ENSG00000130589	HELZ2		PDIP1, PRIC285, KIAA1769
ENSG00000136929	ENSG00000136929	HEMGN		EDAG, CT155, NDR
ENSG00000114735	ENSG00000114735	HEMK1		MTQ1
		HEN1		
		HEN2		
ENSG00000162639	ENSG00000162639	HENMT1	C1orf59	FLJ30525, HEN1
		HEP10		
ENSG00000165478	ENSG00000165478	HEPACAM		FLJ25530, hepaCAM, GLIALCAM
ENSG00000188175	ENSG00000188175	HEPACAM2		FLJ38683
ENSG00000089472	ENSG00000089472	HEPH		KIAA0698, CPL
ENSG00000181333	ENSG00000181333	HEPHL1		DKFZp686F22190
ENSG00000221932	ENSG00000221932	HEPN1		
ENSG00000103657	ENSG00000103657	HERC1		p532, p619
ENSG00000128731	ENSG00000128731	HERC2		jdf2, p528, D15F37S1
		HERC2P1		D15F37S2
ENSG00000276550	ENSG00000276550	HERC2P2		D15F37S3
ENSG00000180229	ENSG00000180229	HERC2P3		D15F37S4, LOC283755
ENSG00000230267	ENSG00000230267	HERC2P4		D16F37S5
ENSG00000260644	ENSG00000260644	HERC2P5		D16F37S6
		HERC2P6		
ENSG00000281909	ENSG00000281909	HERC2P7		
ENSG00000261599	ENSG00000261599	HERC2P8		
ENSG00000206149	ENSG00000206149	HERC2P9		FLJ59185
ENSG00000259845	ENSG00000259845	HERC2P10		
ENSG00000261581	ENSG00000261581	HERC2P11		
ENSG00000138641	ENSG00000138641	HERC3		KIAA0032
ENSG00000148634	ENSG00000148634	HERC4		DKFZP564G092, KIAA1593
ENSG00000138646	ENSG00000138646	HERC5		CEB1
ENSG00000138642	ENSG00000138642	HERC6		FLJ20637
ENSG00000051108	ENSG00000051108	HERPUD1		KIAA0025, Mif1, HERP, SUP
ENSG00000122557	ENSG00000122557	HERPUD2		FLJ22313
ENSG00000114315	ENSG00000114315	HES1	HRY	FLJ20408, HES-1, Hes1, bHLHb39
ENSG00000069812	ENSG00000069812	HES2		bHLHb40
ENSG00000173673	ENSG00000173673	HES3		bHLHb43
ENSG00000188290	ENSG00000188290	HES4		bHLHb42
ENSG00000197921	ENSG00000197921	HES5		bHLHb38
ENSG00000144485	ENSG00000144485	HES6		bHLHb41
ENSG00000179111	ENSG00000179111	HES7		bHLHb37
ENSG00000163666	ENSG00000163666	HESX1		RPX, ANF
ENSG00000213614	ENSG00000213614	HEXA		
ENSG00000260339	ENSG00000260339	HEXA-AS1	C15orf34	FLJ13315
ENSG00000049860	ENSG00000049860	HEXB		
ENSG00000169660	ENSG00000169660	HEXD	HEXDC	FLJ23825
ENSG00000279066	ENSG00000279066	HEXD-IT1	HEXDC-IT1	
ENSG00000186834		HEXIM1		CLP-1, HIS1, MAQ1, EDG1
ENSG00000168517	ENSG00000168517	HEXIM2		FLJ32384
ENSG00000164683	ENSG00000164683	HEY1		HESR-1, CHF2, HESR1, HRT-1, CHF-2, HERP2, bHLHb31
ENSG00000135547	ENSG00000135547	HEY2		bHLHb32, HERP1, HESR2
ENSG00000163909	ENSG00000163909	HEYL		bHLHb33, HEY3, HESR3
		HF2		HF
		HFC1		
ENSG00000010704	ENSG00000010704	HFE		HLA-H
ENSG00000162669	ENSG00000162669	HFM1	SEC63D1	MER3, FLJ39011, FLJ36760
		HFSP		
ENSG00000113924	ENSG00000113924	HGD	AKU	HGO
ENSG00000019991	ENSG00000019991	HGF	DFNB39	SF, F-TCF, HGFB, HPTA
ENSG00000109758	ENSG00000109758	HGFAC		HGFAP, HGFA
		HGFL		
ENSG00000235173	ENSG00000235173	HGH1	C8orf30A, FAM203B, C8orf30B, FAM203A	FLJ40907, LOC51236, Brp16
		HGL		
		HGPPS	HGPPS	HGPS
ENSG00000185359	ENSG00000185359	HGS		Hrs, ZFYVE8, Vps27
ENSG00000165102	ENSG00000165102	HGSNAT	TMEM76	FLJ32731, HGNAT
ENSG00000054392	ENSG00000054392	HHAT		FLJ10724, MART-2, MART2, Skn, ski, rasp, sit, GUP2
ENSG00000010282	ENSG00000010282	HHATL	C3orf3, GUP1	KIAA1173, OACT3, MSTP002, MBOAT3
ENSG00000230970	ENSG00000230970	HHATL-AS1		
		HHC1		
		HHC2		FBH, FBH2, FHH2
		HHC3		FBHOk, FBH3
ENSG00000152804	ENSG00000152804	HHEX	PRHX	HEX, HOX11L-PEN
		HHG		ULG5
		HHH		
ENSG00000164161	ENSG00000164161	HHIP		HIP, FLJ20992
ENSG00000248890	ENSG00000248890	HHIP-AS1		
ENSG00000182218	ENSG00000182218	HHIPL1	KIAA1822	
ENSG00000143512	ENSG00000143512	HHIPL2	KIAA1822L	FLJ13840
ENSG00000132297	ENSG00000132297	HHLA1	PLA2L	
ENSG00000114455	ENSG00000114455	HHLA2		B7H7, B7-H5, B7y
ENSG00000197568	ENSG00000197568	HHLA3		
	ENSG00000226088	HHLA3-AS1		
ENSG00000106049	ENSG00000106049	HIBADH		NS5ATP1
ENSG00000198130	ENSG00000198130	HIBCH		
ENSG00000177374	ENSG00000177374	HIC1		ZBTB29, ZNF901
ENSG00000169635	ENSG00000169635	HIC2		KIAA1020, HRG22, ZBTB30, ZNF907
ENSG00000167861	ENSG00000167861	HID1	C17orf28	DMC1, HID-1
ENSG00000263586	ENSG00000263586	HID1-AS1		
ENSG00000100644	ENSG00000100644	HIF1A		MOP1, HIF-1alpha, PASD8, HIF1, bHLHe78
ENSG00000258777	ENSG00000258777	HIF1A-AS1		5'aHIF-1A
ENSG00000258667		HIF1A-AS2		3'aHIF-1A, aHIF
	ENSG00000258667	HIF1A-AS3		
ENSG00000166135	ENSG00000166135	HIF1AN		FLJ20615, DKFZp762F1811, FLJ22027, FIH1
ENSG00000258978	ENSG00000258978	HIF1AP1		
ENSG00000124440	ENSG00000124440	HIF3A		IPAS, MOP7, PASD7, bHLHe17
ENSG00000181061	ENSG00000181061	HIGD1A		HIG1, DKFZP564K247, RCF1A
ENSG00000258016	ENSG00000258016	HIGD1AP1	HIGD1D, HIGD1DP	
ENSG00000237148	ENSG00000237148	HIGD1AP2		
ENSG00000248929	ENSG00000248929	HIGD1AP3		
ENSG00000233299	ENSG00000233299	HIGD1AP4		
ENSG00000255254	ENSG00000255254	HIGD1AP5		
ENSG00000253229	ENSG00000253229	HIGD1AP6		
		HIGD1AP7		
ENSG00000237303	ENSG00000237303	HIGD1AP8		
ENSG00000258104	ENSG00000258104	HIGD1AP9		
ENSG00000254455	ENSG00000254455	HIGD1AP10		
ENSG00000227644	ENSG00000227644	HIGD1AP11		
ENSG00000236012	ENSG00000236012	HIGD1AP12		
ENSG00000251019	ENSG00000251019	HIGD1AP13		
ENSG00000248785	ENSG00000248785	HIGD1AP14		
ENSG00000237005	ENSG00000237005	HIGD1AP15		
ENSG00000219608	ENSG00000219608	HIGD1AP16		
ENSG00000258886	ENSG00000258886	HIGD1AP17		
ENSG00000253952	ENSG00000253952	HIGD1AP18		
ENSG00000131097		HIGD1B		CLST11240, CLST11240-15
ENSG00000214511	ENSG00000214511	HIGD1C		Gm921
ENSG00000146066	ENSG00000146066	HIGD2A		MGC2198, RCF1B
ENSG00000175202	ENSG00000175202	HIGD2B	HIGD2BP	
		HIGM1		
ENSG00000149196	ENSG00000149196	HIKESHI	C11orf73	HSPC138, HSPC179, OPI10
ENSG00000135245	ENSG00000135245	HILPDA	C7orf68	FLJ21076, HIG-2, HIG2
ENSG00000172273	ENSG00000172273	HINFP	MIZF	DKFZP434F162, HiNF-P, ZNF743
ENSG00000169567	ENSG00000169567	HINT1	PRKCNH1, HINT	PKCI-1
ENSG00000231531	ENSG00000231531	HINT1P1		HINTP1
ENSG00000271159	ENSG00000271159	HINT1P2		
ENSG00000137133	ENSG00000137133	HINT2		
ENSG00000230398	ENSG00000230398	HINT2P1		
ENSG00000111911	ENSG00000111911	HINT3		FLJ33126, HINT4
ENSG00000127946	ENSG00000127946	HIP1		ILWEQ
ENSG00000130787	ENSG00000130787	HIP1R		KIAA0655, HIP3, HIP12, FLJ14000, ILWEQ
ENSG00000163349	ENSG00000163349	HIPK1		KIAA0630, Myak, MGC26642, Nbak2, MGC33446, MGC33548
ENSG00000235527	ENSG00000235527	HIPK1-AS1		
ENSG00000064393	ENSG00000064393	HIPK2		
ENSG00000110422	ENSG00000110422	HIPK3		PKY, DYRK6, YAK1, FIST3
ENSG00000160396	ENSG00000160396	HIPK4		FLJ32818
ENSG00000100084	ENSG00000100084	HIRA	TUPLE1	DGCR1, TUP1
ENSG00000271563	ENSG00000271563	HIRAP1		
ENSG00000149929	ENSG00000149929	HIRIP3		
		HIS		
		HIST2H3B		HIST2H3PS1
		HIVE1		
ENSG00000095951	ENSG00000095951	HIVEP1	ZNF40	CIRIP, MBP-1, CRYBP1, PRDII-BF1, ZAS1, Schnurri-1, ZNF40A
ENSG00000010818	ENSG00000010818	HIVEP2		MBP-2, HIV-EP2, MIBP1, ZAS2, Schnurri-2, ZNF40B
ENSG00000127124	ENSG00000127124	HIVEP3		KRC, KBP1, KBP-1, SHN3, FLJ16752, KIAA1555, ZAS3, Schnurri-3, ZNF40C
ENSG00000123485	ENSG00000123485	HJURP		DKFZp762E1312, URLC9, hFLEG1, FAKTS
ENSG00000168509	ENSG00000168509	HJV	HFE2	JH, HFE2A, RGMC, hemojuvelin, haemojuvelin
ENSG00000156515	ENSG00000156515	HK1		
ENSG00000159399	ENSG00000159399	HK2		
ENSG00000228612	ENSG00000228612	HK2P1	HK2P	
		HK2P2		
ENSG00000160883	ENSG00000160883	HK3		
ENSG00000156510	ENSG00000156510	HKDC1		FLJ37767, FLJ22761
ENSG00000206503	ENSG00000206503	HLA-A		
ENSG00000234745	ENSG00000234745	HLA-B	AS	
ENSG00000204525	ENSG00000204525	HLA-C	HLA-JY3, D6S204, PSORS1	
ENSG00000204257	ENSG00000204257	HLA-DMA		D6S222E, RING6
ENSG00000242574	ENSG00000242574	HLA-DMB		D6S221E, RING7
ENSG00000204252	ENSG00000204252	HLA-DOA	HLA-DZA, HLA-DNA	HLA-D0-alpha
ENSG00000241106	ENSG00000241106	HLA-DOB		
ENSG00000231389	ENSG00000231389	HLA-DPA1	HLA-DP1A	
ENSG00000231461	ENSG00000231461	HLA-DPA2	HLA-DP2A	
ENSG00000237398	ENSG00000237398	HLA-DPA3		
ENSG00000223865	ENSG00000223865	HLA-DPB1	HLA-DP1B	
ENSG00000224557	ENSG00000224557	HLA-DPB2	HLA-DP2B	DP2B, DPB2
ENSG00000196735	ENSG00000196735	HLA-DQA1	HLA-DQA	CELIAC1
ENSG00000237541	ENSG00000237541	HLA-DQA2	HLA-DXA	
ENSG00000179344	ENSG00000179344	HLA-DQB1	HLA-DQB	IDDM1, CELIAC1
ENSG00000223534	ENSG00000223534	HLA-DQB1-AS1		
ENSG00000232629	ENSG00000232629	HLA-DQB2	HLA-DXB	
ENSG00000226030	ENSG00000226030	HLA-DQB3	HLA-DVB	D6S205, D6S205E, DVB, DQB3
ENSG00000204287	ENSG00000204287	HLA-DRA	HLA-DRA1	
ENSG00000196126	ENSG00000196126	HLA-DRB1	HLA-DR1B	
		HLA-DRB1L		
	ENSG00000227442	HLA-DRB2	HLA-DR2B	
	ENSG00000196101	HLA-DRB3	HLA-DR3B	
	ENSG00000227357	HLA-DRB4	HLA-DR4B	
ENSG00000198502	ENSG00000198502	HLA-DRB5		
ENSG00000229391	ENSG00000229391	HLA-DRB6		
	ENSG00000227099	HLA-DRB7		
	ENSG00000233697	HLA-DRB8		
ENSG00000196301	ENSG00000196301	HLA-DRB9	HLA-DRB1L, HLA-DR1BL	D6S206, D6S206E
		HLA-DVB		
		HLA-DXA		
		HLA-DXB		
		HLA-DZA		
ENSG00000204592	ENSG00000204592	HLA-E		
ENSG00000204642	ENSG00000204642	HLA-F		
ENSG00000214922	ENSG00000214922	HLA-F-AS1		
ENSG00000204632	ENSG00000204632	HLA-G		
ENSG00000206341	ENSG00000206341	HLA-H		
ENSG00000204622	ENSG00000204622	HLA-J	HLA-CDA12, D6S203	CDA12, HLA-59
		HLA-JY3		
ENSG00000230795	ENSG00000230795	HLA-K	HLAK, HLA70	HLA-70
ENSG00000243753	ENSG00000243753	HLA-L	HLA92, HLAL	HLA-92
ENSG00000224372	ENSG00000224372	HLA-N		HLA-30
