B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
CORO2B,NA,XBP1,NA,IL7R,ETS1,PAICS,CIB1,CBY1,SKAP1,MED13,NA,NA,EMP1,TNFSF10,C1QA,SLC27A3,BIRC3,MLPH,RGS13,GPR65,NCOA4
DTX4,NA,C11orf10,NA,GNB2L1,CDR2,RACGAP1,RAP1A,FOXK2,PDE3B,NCR1,NA,NA,CORO1C,CYP27B1,AHCY,SLC7A8,CD86,PLAT,3-Mar,MTCH1,AQP9
GABBR1,NA,IGHM,NA,RPS3,NEFL,HNRNPAB,MAGEH1,RNPEPL1,GPR171,PIAS4,NA,NA,LHFPL2,DRAM1,CTSA,TAX1BP3,GLS,STAP1,ANKRD28,RNF103,GABARAP
BCL11A,NA,FKBP11,NA,GLTSCR2,CRIP2,NME1,PDCD1,PPFIA2,TYR,PLAC8,NA,NA,JAKMIP2,STAT3,FCGRT,TPK1,HIST1H2BD,TDRD3,LAX1,CALM2,TREM1
ELL3,NA,IGLV1-51,NA,RPL5,TRAV13-1,IMPDH2,ICA1,SMC1A,FXYD5,PPP1R12A,NA,NA,DCSTAMP,SERPING1,PDGFC,TXNRD3,SPG11,HPGD,SH2B3,CAT,CEBPB
PCDH9,NA,IGLV1-40,NA,TOMM7,FAM89B,CCT2,C9orf16,SYNM,ACTB,RARRES3,NA,NA,CAPG,SLC2A6,CCL23,VASH1,RAB9A,TSNAX,GEM,MFSD1,ICAM3
BCL7A,NA,IGHV3-9,NA,RPL30,CSDE1,HSPE1,LAT,ZNF442,SIT1,S1PR5,NA,NA,SLC31A1,UBD,NPC2,WDR37,HIST1H2BK,MEIS2,LAPTM4B,IRAK1,SEPX1
DSP,NA,IGHV3-23,NA,RPL38,PIK3R1,UBE2C,ST8SIA1,PPP2R2B,GOLGA8A,SCAF11,NA,NA,C14orf109,LY6E,CD4,ZCCHC2,IL12B,PDCD10,TIMP1,GLUL,VMP1
SCN3A,NA,HSP90B1,NA,UBA52,RWDD1,CCT3,CD2,CSTF2T,HLA-A,SETX,NA,NA,MGST3,CD40,GRN,NA,CSH2,ABCC4,LIF,IRS2,IFITM2
CD22,NA,MZB1,NA,RPS21,FLI1,HSP90AB1,FYN,FOXJ1,GAPDH,TEP1,NA,NA,LGALS3,IGFBP4,STAB1,NA,LSP1,PRDX6,MYC,SGK1,MNDA
TCTN1,NA,IGJ,NA,RPL14,TOB1,ZWINT,TBC1D4,CAMK2N1,PMCH,USP33,NA,NA,PLA2G7,EBI3,AP2A2,NA,TBC1D8,ADRB2,IER3,SDCBP,S100A9
CD72,NA,IGLV2-14,NA,RPL35A,S1PR1,NPM1,CXCL13,GTF3A,RPL23,YPEL1,NA,NA,BHLHE41,APOL3,MAFB,NA,CD58,NDST2,CCL20,PTPRE,CXCR2
BACH2,NA,GUSBP11,NA,NACAP1,ANXA6,TYMS,PPP1CC,CERK,IL32,NA,NA,NA,CYP27A1,CXCL10,CCL18,NA,TBC1D13,DYNLL1,IL1B,PLIN2,VNN2
TSPAN13,NA,TXNDC5,NA,RPS14,CALM1,ERH,PASK,CAPN2,RPS19,NA,NA,NA,AKR1B1,CFB,SEPP1,NA,MOBKL1B,KIT,CXCL2,TIPARP,S100A8
IL4R,NA,IGKV4-1,NA,RPL4,CDKN1B,RRM2,ICOS,TRDC,B2M,NA,NA,NA,MMP9,CCL19,F13A1,NA,CREG1,HPGDS,CCL2,EMR1,FPR1
TCL1A,NA,IGLL3P,NA,RPS16,PPP1R2,ZBED2,ITM2A,GZMK,HLA-B,NA,NA,NA,FBP1,CXCL9,FUCA1,NA,CCL22,CPA3,CXCL3,CLC,FCGR3B
