gene	CD8_subtype_1	CD8_subtype_2	CD4_subtype_1	CD4_subtype_2	B_cell_subtype_1	B_cell_subtype_2	NK_subtype_1	NK_subtype_2	mono_subtype_1	mono_subtype_2	Endothelial_subtype_1	Endothelial_subtype_2	Fibroblast_subtype_1	Fibroblast_subtype_2	Neutrophils_subtype_1	Neutrophils_subtype_2
ENSG00000255565	0.3999635309924818	0.3999752499999982	0.4196449299055255	0.41965366666666487	0.23794493750000217	0.23794493750000262	0.13949182491464576	0.1397240000000001	7.461969916666667	7.427178865861304	0.05956384899218216	0.059397436363636404	1.4088813882707873	1.4074567619047653	0.215272	0.0
ENSG00000255571	7.343253593485008	0.4738961973826521	0.8853253989798677	0.8805327471021729	0.4487389022243029	0.4487487029022295	9.328039260885307	9.330336999999991	0.0722916141680197	0.2428641259996663	0.05943135428074893	0.05899050009090908	0.1804264888510334	0.18025714476190455	0.10306545	0.2726898
ENSG00000255641	28.8466434808006	28.847173062499905	0.4513058071249168	0.4513110037500034	0.9638056250000029	0.9638056250000083	89.8906315189319	89.91532499999995	0.7112584166666666	0.7058534440000422	0.0017924925324671554	0.0017777350000000001	0.5725358306915994	0.1523382882293706	0.118403	0.0
ENSG00000255737	4.972032661275703	0.02878030096383455	0.3549334362796548	0.409376573175547	0.015669330346528416	0.032670827178189865	0.0027722939444241035	0.0022252291666666623	0.15157218564628755	0.3326875823913624	16.442436488214014	19.09537411939843	37.65326458522275	37.61178027142853	0.3476075	0.2167235
ENSG00000255760	0.5844829727669565	0.5844941250000018	0.049381734924588916	0.0493830000000002	32.88018750000019	32.88018750000036	3.546112683426352	3.5486230000000027	1.3608842499999998	1.3572738401985405	0.0011713365534242663	0.0011653868181818181	0.1114407707289641	0.11132462380952408	1.9552450000000001	6.81656
ENSG00000255823	377.2682473884255	72.02461318926088	21669.642937162265	46566.655836276615	57030.47975940195	27393.787705807852	15118.386150721743	36043.179895287205	72909.04481115298	4237.983035350556	44826.23622473793	114641.24579534802	9376.479329681804	13768.221730246658	1.459325	1.0882265
ENSG00000255987	73.86701018262822	73.86725624999973	54.88688856388592	54.88711666666676	0.7651931249999975	0.765193124999997	75.62300900717698	75.63932500000008	2.42661825	2.4077327484497735	0.19487623866817863	0.1942861454545454	0.25233202109230984	0.0	0.0	0.312143
ENSG00000256007	15.72065060037335	15.720777503449986	12.238758348642417	12.238846666666639	26.53147062499999	26.531470624999745	17.512568869560162	17.522775000000014	69.79449415833334	69.54877863653252	0.004750393985791033	0.004720963636363636	1.0924675931897438	1.0909738095238066	208.403	83.75975
ENSG00000256039	161.0951149559586	161.09664375000006	2.658529040473533	2.658565666666656	0.2294740625000017	0.22947406250000216	11.206331756993219	11.217330000000002	0.028268333333333336	0.027986738474917807	0.044683909531568915	0.04444021545454547	0.014929921973689458	0.014916771619047638	0.0	0.0
ENSG00000256043	54.85775285145658	4.113951841895927	24.914277750984063	19.189949575900542	27.51258395458526	29.05989448431486	36.39210009454272	35.1535547225789	24.18107541984266	28.282623415554358	27.888097888527554	10.271515032932287	51.94225842143032	19.437562353379814	1.0534124999999999	0.569182
